Unnamed: 0,_id,Memory (RAM),Screen size,Weight,Hard drives,Size (length x width x height),Price,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
6190,6589cf6b8997406b55ed8e03,32,16.0,3.89,1000,,38399760.0,15486,27325,1,0,1,0,0
6191,6589cf6b8997406b55ed8e04,16,17.3,2.6,1000,161.5645,35976000.0,14193,17090,1,0,0,0,0
6192,6589cf6b8997406b55ed8e05,32,16.0,2.59,2000,118.560186,81286080.0,14640,38875,1,0,0,0,0
6194,6589cf6c8997406b55ed8e09,16,15.6,2.5,1000,,33096000.0,12159,17090,1,0,0,0,0
6195,6589cf6c8997406b55ed8e0a,32,17.3,2.8,2000,137.183184,47496000.0,15486,17090,1,0,1,0,0
6201,6589cf6d8997406b55ed8e1c,32,15.6,2.1,2000,97.085755,68376000.0,15486,23757,0,0,1,0,0
6204,6589cf6e8997406b55ed8e21,32,15.6,1.73,2000,96.791778,13296000.0,5002,2690,0,0,1,0,0
6207,6589cf6e8997406b55ed8e24,32,17.3,2.75,1000,124.07967,55199759.0,16894,23757,1,0,1,0,0
6208,6589cf6e8997406b55ed8e28,16,15.6,1.12,500,90.684288,26376000.0,5002,2690,0,1,0,1,0
6209,6589cf6e8997406b55ed8e2a,16,16.0,2.6,1000,128.458104,26856000.0,17272,14693,1,0,0,0,0
6214,6589cf6f8997406b55ed8e33,16,16.0,,1000,120.661728,37199760.0,15486,23757,0,0,1,0,0
6215,6589cf6f8997406b55ed8e36,16,16.0,2.06,1000,93.38192,32639760.0,14917,12960,0,0,1,0,0
6217,6589cf6f8997406b55ed8e38,16,15.6,1.15,1000,,38376000.0,9960,2690,0,1,0,1,0
6220,6589cf708997406b55ed8e40,32,17.3,2.72,2000,320.0,85176000.0,15486,23757,1,0,1,0,0
6222,6589cf708997406b55ed8e42,16,17.3,2.79,500,171.089088,34618080.0,12390,17090,1,0,0,0,0
6225,6589cf708997406b55ed8e45,16,13.4,1.3,2000,72.72683,49656000.0,17509,19573,0,1,1,1,0
6226,6589cf718997406b55ed8e46,64,16.0,2.38,8000,136.239028,94680000.0,30000,26883,1,0,1,0,0
6227,6589cf718997406b55ed8e48,16,14.0,1.68,1000,80.645705,19176000.0,15486,2690,0,0,1,0,0
6229,6589cf718997406b55ed8e4d,16,13.3,1.16,1000,48.57291,,12205,2690,0,1,0,1,0
6231,6589cf718997406b55ed8e50,16,16.0,4.51,1000,128.904574,37176000.0,31343,19573,1,0,1,0,0
6234,6589cf728997406b55ed8e5a,32,15.6,2.3,4000,152.77356,47736000.0,14917,26883,1,0,0,0,0
6237,6589cf728997406b55ed8e5f,64,16.0,3.31,2000,170.792952,61656000.0,20930,26883,1,0,1,0,0
6241,6589cf738997406b55ed8e68,8,13.3,1.3,1000,55.68,31656000.0,5002,2690,0,1,0,0,0
6243,6589cf738997406b55ed8e6b,32,14.0,1.72,1000,84.533064,73176000.0,17509,38875,0,0,1,0,0
6244,6589cf748997406b55ed8e6f,64,15.6,2.72,8000,222.0,115199760.0,9400,11157,1,0,0,0,0
6245,6589cf748997406b55ed8e70,16,15.6,2.22,500,158.144,33216000.0,15486,22459,0,0,1,0,0
6248,6589cf748997406b55ed8e77,64,16.0,2.67,4000,176.053696,70776000.0,30000,34630,1,0,1,0,0
6249,6589cf748997406b55ed8e78,32,15.6,2.5,2000,160.491738,33599760.0,14193,23757,1,0,0,0,0
6251,6589cf758997406b55ed8e7e,32,15.6,2.4,1000,142.41,39096000.0,13450,13136,1,0,0,0,0
6252,6589cf758997406b55ed8e81,32,17.0,2.42,2000,112.710312,78696000.0,15486,17090,1,0,1,0,0
6260,6589cf788997406b55ed8ea8,64,16.0,2.27,4000,124.3683,114456000.0,15486,23757,1,0,1,0,0
6264,6589cf798997406b55ed8eae,16,14.0,1.3,500,72.959784,24936000.0,5125,2690,0,1,0,1,0
6265,6589cf798997406b55ed8eb1,16,16.0,1.2,500,,35736000.0,9960,2690,0,1,0,1,0
6267,6589cf798997406b55ed8eb6,32,17.3,2.6,2000,161.5645,33816000.0,14003,14693,1,0,0,0,0
6271,6589cf7a8997406b55ed8ebc,64,17.3,2.85,2000,179.044776,44376000.0,27225,19573,1,0,1,0,0
6273,6589cf7a8997406b55ed8ebe,64,15.6,2.72,2000,135.47844,49176000.0,12390,22459,1,0,0,0,0
6274,6589cf7a8997406b55ed8ec1,32,16.0,2.1,2000,105.77268,52872000.0,19204,26883,1,0,1,0,0
6275,6589cf7a8997406b55ed8ec2,64,16.0,2.5,2000,155.47815,43197600.0,27225,19573,1,0,1,0,0
6276,6589cf7b8997406b55ed8ec5,8,15.0,2.07,250,88.2,31199760.0,5125,2690,0,0,1,0,0
6277,6589cf7b8997406b55ed8ec3,64,15.6,1.66,2000,108.563751,20543760.0,8018,2690,0,0,1,0,0
6279,6589cf7b8997406b55ed8ecc,32,15.6,2.3,1000,495.0,39336000.0,12472,10181,1,0,0,0,0
6281,6589cf7c8997406b55ed8ed4,32,17.3,2.8,2000,208.85205,51576000.0,24720,19573,1,0,1,0,0
6282,6589cf7c8997406b55ed8ed6,16,17.3,2.72,8000,320.0,111816000.0,15486,23757,1,0,1,0,0
6285,6589cf7d8997406b55ed8edf,16,15.6,2.3,500,152.14116,40800000.0,16894,17090,1,0,1,0,0
6286,6589cf7e8997406b55ed8ee7,16,17.0,1.35,1000,109.01695,31176000.0,5481,2690,0,1,0,1,0
6287,6589cf7e8997406b55ed8ee9,32,17.3,2.6,1000,163.145304,32376000.0,9000,12960,1,0,0,0,0
6288,6589cf7e8997406b55ed8eeb,32,15.6,2.3,8000,152.77356,68136000.0,14917,26883,1,0,0,0,0
6293,6589cf7f8997406b55ed8ef7,64,15.6,2.49,2000,150.0,87096000.0,13081,22459,1,0,0,0,0
6296,6589cf7f8997406b55ed8efb,16,16.0,2.1,2000,105.663636,70776000.0,19204,34630,0,0,1,0,0
6298,6589cf7f8997406b55ed8f00,64,16.0,2.3,1000,152.77356,40752000.0,14917,26883,1,0,0,0,0
6300,6589cf808997406b55ed8f04,32,15.6,2.3,1000,126.54732,47976000.0,16894,23757,1,0,1,0,0
6301,6589cf808997406b55ed8f0b,32,16.0,2.1,1000,100.35072,32376000.0,9960,2690,0,0,1,0,0
6302,6589cf808997406b55ed8f0e,64,15.6,1.95,0,141.24348,41519760.0,16894,23757,0,0,1,0,0
6304,6589cf808997406b55ed8f10,64,16.0,2.7,2000,159.46852,35976000.0,15486,17090,1,0,1,0,0
6306,6589cf818997406b55ed8f12,32,15.6,2.34,2000,118.156545,64799759.0,16894,23757,1,0,1,0,0
6307,6589cf818997406b55ed8f13,64,15.6,2.74,1000,280.0,86874480.0,10500,19330,1,0,0,0,0
