_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Amazon.com Lowest New Price,Name
6589cd348997406b55ed7228,AMD Ryzen 7 7735HS,GeForce RTX 4060,64gb,17.3″,Full HD(1920 x 1080 pixels),5.95 lbs(2.7 kg),16000gb SSD,15.67 x 10.75 x 1.11 inches,Windows 11 Pro,"July 23, 2023","$4,169.00",HIDevolution 2023 MSI Bravo 17 C7VFK (MS-BRAVO17C7039-HID10)
6589cd348997406b55ed7229,Intel Core i7-1165G7,GeForce MX450,16gb,14″,Full HD(1920 x 1080 pixels),3.36 lbs(1.52 kg),1000gb SSD,12.83 x 8.9 x 0.69 inches,Windows 11 Pro,"December 16, 2023",,Dell Latitude 3000 Series 3420 14″ (Latitude)
6589cd348997406b55ed722a,AMD Ryzen 7 5700U,Integrated graphics,16gb,15.6″,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),500gb SSD,15 x 10 x 0.7 inches,Windows 11 Home,"October 5, 2023","$1,289.00",HP Pavilion 15z-eh100
6589cd348997406b55ed722b,,,18gb,14.2″,Full HD(1920 x 1080 pixels),3.5 lbs(1.59 kg),500gb SSD,12.31 x 8.71 x 0.61 inches,macOS,"October 31, 2023","$1,949.99",Apple MacBook M3 Pro 14″ (MRX63LL/A)
6589cd348997406b55ed722c,Intel Core i9-13950HX,GeForce RTX 4070,64gb,17″,Quad HD Plus(3200 x 1800 pixels),5.49 lbs(2.49 kg),2000gb SSD,15.04 x 10.24 x 0.75 inches,Windows 11 Pro,"October 17, 2023","$3,699.00",HIDevolution 2023 MSI Creator Z17HX Studio A13VGT (MS-CreatorZ1713065-HID1)
6589cd348997406b55ed722d,Intel Core i3-1115G4,Intel UHD Graphics,36gb,15.6″,Full HD(1920 x 1080 pixels),3.75 lbs(1.7 kg),2000gb SSD,14.31 x 9.39 x 0.78 inches,Windows 11,"September 6, 2023",$638.99,Acer Aspire 3 15″ (Aspire)
6589cd348997406b55ed722e,Intel Celeron N3050,Intel HD Graphics,,13.3″,,3.42 lbs(1.55 kg),,13.12 x 9.02 x 0.77 inches,Windows 10,"July 22, 2017",$239.00,HP EXCESS 13″ (P4B15UA)
6589cd358997406b55ed722f,Intel Core i5-1240P,Intel Iris Xe,8gb,16″,Quad HD(2560 x 1440 pixels),4.18 lbs(1.9 kg),250gb SSD,14.23 x 9.83 x 0.76 inches,Windows 11 Home,"December 27, 2022",$734.99,Lenovo Yoga 7i 16″
6589cd358997406b55ed7230,Intel Core i7-1260P,Intel Iris Xe,16gb,17″,WQXGA(2560 x 1600 pixels),2.98 lbs(1.35 kg),2000gb SSD,14.91 x 10.91 x 0.7 inches,Windows 11 Pro,"April 10, 2023","$1,529.99",LG Gram 17″ (17Z90Q)
6589cd358997406b55ed7231,Intel Core i3-1115G4,Intel UHD Graphics,20gb,15.6″,Full HD(1920 x 1080 pixels),4.07 lbs(1.85 kg),1000gb SSD,14.25 x 9.98 x 0.78 inches,Windows 11,"December 3, 2021",$464.00,Lenovo Ideapad 3 15″ (Ideapad)
6589cd358997406b55ed7232,Intel Core i5-1135G7,Intel Iris Xe,16gb,14″,HD(1366 x 768 pixels),3.24 lbs(1.47 kg),250gb SSD,12.76 x 8.86 x 0.71 inches,Windows 11 Home,"August 4, 2023",$659.00,HP 14 HD
6589cd358997406b55ed7233,Intel Core i5-1135G7,Intel Iris Xe,12gb,15.6″,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),500gb SSD,14.11 x 9.53 x 0.71 inches,Windows 11 Pro,"January 4, 2022",$619.00,HP 15
6589cd358997406b55ed7234,Intel Core i7-12700H,RTX A1000,64gb,16″,WQUXGA(3840 x 2400 pixels),4 lbs(1.81 kg),500gb SSD,14 x 10 x 1 inches,Windows 10 Pro,"October 12, 2023","$2,129.99",HP ZBook Studio G9 16″
6589cd358997406b55ed7235,Intel Core i5-1135G7,Intel Iris Xe,32gb,14″,WUXGA(1920 x 1200 pixels),2.13 lbs(0.97 kg),2000gb SSD,12.17 x 8.46 x 0.59 inches,Windows 10 Home,"May 11, 2023",$999.00,EXcaliberPC XPG Xenia 14 (XENIA14I5G11GXELX-BKCUS)
6589cd358997406b55ed7236,Intel Core i5-1145G7,Intel UHD Graphics,32gb,14″,Full HD(1920 x 1080 pixels),4.61 lbs(2.09 kg),2000gb SSD,13.6 x 10.7 x 1.3 inches,Windows 11 Pro,"November 2, 2023","$3,579.00",Panasonic Toughbook FZ-55 14″
6589cd358997406b55ed7237,Intel Core i7-13620H,GeForce RTX 3050 6GB,40gb,15.6″,Full HD(1920 x 1080 pixels),3.97 lbs(1.8 kg),1000gb SSD,14.03 x 9.26 x 0.75 inches,Windows 11 Pro,"August 17, 2023","$1,199.99",ASUS ZenBook 15 Pro (ZenBook 15 Q530)
6589cd358997406b55ed7238,Intel Core i3-1115G4,,20gb,15.6″,Full HD(1920 x 1080 pixels),3.97 lbs(1.8 kg),1000gb SSD,14.3 x 9.4 x 0.8 inches,Windows 11 Home,"September 14, 2023",$439.98,Acer Aspire 3 15″ (Aspire 3)
6589cd358997406b55ed723a,Intel Core i5-7200U,GeForce 940MX,8gb,17.3″,Full HD(1920 x 1080 pixels),8.4 lbs(3.81 kg),250gb SSD,16.67 x 11.1 x 1.09 inches,Windows 10,"June 14, 2017",$499.99,Acer E5-774G 17″ (E5-774G)
6589cd358997406b55ed7239,Intel Core i7-8550U,Intel HD Graphics,16gb,13.3″,4k(3840 x 2160 pixels),2.7 lbs(1.22 kg),500gb SSD,11.9 x 7.8 x 0.3 inches,Windows 10 Pro,"April 12, 2019",$634.69,Dell XPS 9370 13″ (XPS 9370)
6589cd368997406b55ed723b,Intel Core i5-11400H,GeForce RTX 3050,16gb,15.6″,Full HD(1920 x 1080 pixels),4.8 lbs(2.18 kg),500gb SSD,14.21 x 10.15 x 1.09 inches,Windows 11,"September 21, 2022",$895.00,Gigabyte G5 GD 15″ (G5 GD-51US123SO)
6589cd368997406b55ed723c,AMD Ryzen 9 5900HX,GeForce RTX 3070,16gb,15.6″,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),1000gb SSD,15 x 10 x 1 inches,Windows 11 Home,"March 13, 2022","$1,899.00",HP OMEN 15z-en100
6589cd368997406b55ed723e,AMD Ryzen 5 3450U,Integrated graphics,16gb,15.6″,Full HD(1920 x 1080 pixels),3.96 lbs(1.8 kg),500gb SSD,14.8 x 9.6 x 0.8 inches,Windows 10 Pro,"October 27, 2023","$1,234.00",Gateway GWTN156-4GR
6589cd368997406b55ed723d,AMD Ryzen 5 5500U,,16gb,15.6″,Full HD(1920 x 1080 pixels),3.88 lbs(1.76 kg),500gb SSD,14.31 x 9.89 x 0.72 inches,Windows 10,"October 13, 2023",$619.00,Acer Aspire-A515-45-R74Z (NX.A84AA.005)
6589cd368997406b55ed723f,Intel Core i7-12700H,GeForce RTX 3060,64gb,15.6″,Full HD(1920 x 1080 pixels),5.73 lbs(2.6 kg),1000gb SSD,,Windows 11 Home,"July 14, 2023","$1,699.00",Acer Predator Helios 300 15″ (Predator Helios 300 Gaming)
6589cd368997406b55ed7240,Intel Core i5-1135G7,Intel Iris Xe,8gb,15.6″,Full HD(1920 x 1080 pixels),4.18 lbs(1.9 kg),250gb SSD,14.03 x 9.28 x 0.76 inches,Windows 10 Home,"August 27, 2021",$749.00,Lenovo Yoga 7i 2-in-1 15″
6589cd368997406b55ed7241,Intel Celeron N4120,Intel UHD Graphics 600,4gb,14″,HD(1366 x 768 pixels),3.24 lbs(1.47 kg),64gb SSD,12.76 x 8.86 x 0.71 inches,Windows 11 Home,"October 31, 2023",$259.99,HP Stream 14″
6589cd368997406b55ed7242,Intel Celeron Series,Intel UHD Graphics 600,128gb,15.6″,,3.59 lbs(1.63 kg),120gb SSD,15.6 x 9 x 0.6 inches,,"August 18, 2023","$1,049.99",SGIN 4GB DDR4 RAM 15″ (M15)
6589cd368997406b55ed7243,Intel Core i3-1115G4,,32gb,15.6″,HD(1366 x 768 pixels),3.75 lbs(1.7 kg),1000gb SSD,14.1 x 9.53 x 0.71 inches,Windows 11 Home,"September 1, 2023",$669.00,HP Touchscreen 15″
6589cd368997406b55ed7244,Intel Core i7-12650H,GeForce RTX 3070,16gb,15.6″,Full HD(1920 x 1080 pixels),4.82 lbs(2.19 kg),1000gb SSD,14.5 x 11 x 1 inches,Windows 11 Pro,"October 13, 2022","$1,449.00",ASUS TUF Dash 15″
6589cd368997406b55ed7245,Intel Core i3-8145U,,8gb,15.6″,Full HD(1920 x 1080 pixels),3.8 lbs(1.72 kg),120gb SSD,14.1 x 9.1 x 0.75 inches,Windows 10 Home,"July 22, 2019",$386.00,ASUS VivoBook 15 (F512FA-AB34)
6589cd368997406b55ed7246,Intel Core i7-9750H,GeForce RTX 2080,32gb,15.6″,Full HD(1920 x 1080 pixels),5.49 lbs(2.49 kg),500gb SSD,15.08 x 10.24 x 1.16 inches,,"May 14, 2019","$2,599.00",MSI GE63 Raider RGB-499 15″ (GE63RGB499)
6589cd378997406b55ed7249,Intel Core i5 Series,Radeon HD 7570M,8gb,15.6″,HD Plus(1600 x 900 pixels),3.88 lbs(1.76 kg),500gb HDD,14.7 x 9.9 x 1.3 inches,Windows 10 Pro,"March 3, 2020",$299.95,HP EliteBook 8570p 15″ (NB-HP-ELITEBOOK8570P-NB-i5-2.7-8-500-RW)
6589cd378997406b55ed7248,Intel Core i7-12650H,GeForce RTX 3070,64gb,15.6″,Full HD(1920 x 1080 pixels),4.41 lbs(2 kg),2000gb SSD,14.5 x 11 x 1 inches,Windows 11,"June 16, 2023","$1,699.00",ASUS TUF Dash 15″
6589cd378997406b55ed7247,Intel Core i7-13620H,GeForce RTX 4050,64gb,16″,WUXGA(1920 x 1200 pixels),5.29 lbs(2.4 kg),1000gb SSD,14.16 x 10.93 x 0.83 inches,Windows 11 Home,"December 13, 2023","$1,279.00",Lenovo LOQ 16″
6589cd378997406b55ed724a,AMD Ryzen 9 6900HS,GeForce RTX 3060,64gb,16″,WQXGA(2560 x 1600 pixels),4.63 lbs(2.1 kg),2000gb SSD,13.98 x 9.57 x 0.76 inches,Windows 11 Pro,"August 12, 2022","$2,789.00",HIDevolution ASUS ROG X16 GV601RM (GV601RM-X16.R93060-HID12P)
6589cd378997406b55ed724b,Intel Core i5-10500H,GeForce RTX 3060,32gb,15.6″,Full HD(1920 x 1080 pixels),4.1 lbs(1.86 kg),2000gb SSD,14.13 x 10 x 0.85 inches,Windows 10 Home,"December 5, 2021","$1,195.00",MSI GF65 15″
6589cd378997406b55ed724c,Intel Core i3-1115G4,,12gb,14″,Full HD(1920 x 1080 pixels),3.3 lbs(1.5 kg),500gb SSD,12.88 x 9.49 x 0.78 inches,Windows 11 Home,"February 17, 2023",$379.00,Lenovo IdeaPad 3i 14″
6589cd378997406b55ed724d,AMD Ryzen 9 7940HS,Radeon RX 7700S,32gb,16″,WQXGA(2560 x 1600 pixels),4.85 lbs(2.2 kg),2000gb SSD,13.98 x 9.92 x 1.06 inches,Windows 11 Home,"September 19, 2023","$1,709.00",HIDevolution 2023 ASUS TUF 16″ (FA617XT-CS94-HID7)
6589cd378997406b55ed724e,Intel Pentium Silver N5030,Intel UHD Graphics,16gb,15.6″,HD(1366 x 768 pixels),3.93 lbs(1.78 kg),500gb SSD,14.11 x 9.53 x 0.78 inches,Windows 11 Home,"April 6, 2023",$459.00,HP Pavilion 15″
6589cd378997406b55ed724f,Intel Core i7-1165G7,,32gb,15.6″,Full HD(1920 x 1080 pixels),3.72 lbs(1.69 kg),1000gb SSD,14.11 x 9.27 x 0.74 inches,Windows 11 Pro,"July 7, 2023",$869.00,Dell Vostro 3510 15″ (I3510)
6589cd388997406b55ed7250,Intel Core i5 Series,,,14″,,3.09 lbs(1.4 kg),250gb SSD,12.3 x 8.8 x 0.71 inches,Chrome OS,"November 13, 2022",$839.00,Acer Chromebook Spin 714 (CP714-1WN-53M9)
6589cd388997406b55ed7251,AMD Ryzen 7 6800H,GeForce RTX 3060,32gb,15.6″,Quad HD(2560 x 1440 pixels),,2000gb SSD,14.13 x 10.33 x 0.79 inches,Windows 11 Pro,"July 11, 2023","$1,299.99",Lenovo Legion 5 Gen 7 15″ (Legion)
6589cd388997406b55ed7252,Intel Core i7-1355U,Intel Iris Xe,32gb,15.6″,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),1000gb SSD,14.18 x 9.21 x 0.7 inches,Windows 11 Home,"October 20, 2023",$939.00,HP Pavilion 15″ (TPN-W155)
6589cd388997406b55ed7253,AMD Ryzen 7 7840HS,GeForce RTX 4050,64gb,15.6″,Full HD(1920 x 1080 pixels),5.09 lbs(2.31 kg),1000gb SSD,14.2 x 10.42 x 1 inches,Windows 11 Home,"August 7, 2023","$1,159.90",Lenovo LOQ 15″ (IdeaPad)
6589cd388997406b55ed7254,Intel Core i7-1160G7,Intel Iris Xe,16gb,13.5″,Quad HD(2560 x 1440 pixels),2.54 lbs(1.15 kg),1000gb SSD,11.71 x 9.16 x 0.45 inches,Windows 11 Pro,"June 15, 2023","$1,199.98",Lenovo ThinkPad X1 Titanium Yoga 13″ (ThinkPad X1 Titanium Yoga)
