Unnamed: 0,_id,Processor (CPU),Graphics card (GPU),Memory (RAM),Screen size,Screen resolution,Weight,Hard drives,Size (length x width x height),Operating system (OS),Release date,Price,Name,CPU Score,GPU Score,Game,Van Phong,Do Hoa,Lap Trinh,Doanh Nhan
41,6589cba98997406b55ed5ef3,AMD Ryzen 7 5800HS,GeForce RTX 3060,16,14,Full HD(1920 x 1080 pixels),3.53 lbs(1.6 kg),500gb SSD,12.76 x 8.74 x 0.7 inches,Windows 11 Home,7-Sep-23,26399760,ASUS ROG Zephyrus G14 (ROG Zephyrus),12066,17090,0,0,0,0,0
42,6589cba98997406b55ed5ef4,Intel Core i7-12700H,GeForce RTX 3070 Ti,32,17.3,Quad HD(2560 x 1440 pixels),0biet,1000gb SSD,0biet,Windows 11 Home,25-Jul-22,63599759,Eluktronics Prometheus XVII 17″ (Prometheus XVII),15486,23757,0,0,1,0,0
43,6589cbaa8997406b55ed5ef7,Intel Core i3-1215U,Intel Iris Xe,8,14,Full HD(1920 x 1080 pixels),2.62 lbs(1.19 kg),1000gb SSD,12.68 x 8.74 x 0.63 inches,Windows 11 Home,7-Jun-23,13896000,HIDevolution 2023 MSI Modern 14 C12M Classic Black (MS-MOD1412495-HID2),5247,2690,0,1,0,0,0
44,6589cbaa8997406b55ed5ef8,Intel Core i7-1355U,GeForce MX550,64,15.6,Full HD(1920 x 1080 pixels),3.86 lbs(1.75 kg),1000gb SSD,14.18 x 9.21 x 0.7 inches,Windows 11 Pro,18-Aug-23,28488000,HP Pavilion 15″ (TPN-Q24578GAV65W),8965,4608,0,0,0,0,0
45,6589cbaa8997406b55ed5efd,Intel Core i7-12700H,GeForce RTX 3070 Ti,32,17.3,Full HD(1920 x 1080 pixels),6.39 lbs(2.9 kg),2000gb SSD,15.63 x 10.57 x 1.08 inches,Windows 11 Home,19-Aug-23,44376000,HIDevolution 2023 MSI Vector GP76 12UGS 17″ (MS-GP7612608-HID1),15486,23757,1,0,1,0,0
46,6589cbaa8997406b55ed5efe,AMD Ryzen 9 5900HX,GeForce RTX 3070,64,15.6,Full HD(1920 x 1080 pixels),5.5 lbs(2.49 kg),4000gb SSD,15 x 10 x 1 inches,Windows 11 Home,17-Jul-23,93096000,HP OMEN 15z-en100,13081,22459,1,0,0,0,0
47,6589cbaa8997406b55ed5f00,Intel Core i7-11800H,GeForce RTX 3070,16,15.6,Full HD(1920 x 1080 pixels),4.8 lbs(2.18 kg),4000gb SSD,14 x 9.6 x 1.06 inches,Windows 10 Home,17-Jul-23,73416000,Gigabyte AORUS 15P,12390,22459,0,0,0,0,0
48,6589cbab8997406b55ed5f03,Intel Core i9-12900H,GeForce RTX 3070 Ti,16,16,WQXGA(2560 x 1600 pixels),4.9 lbs(2.22 kg),4000gb SSD,14 x 9.75 x 1 inches,Windows 11 Home,1-Nov-23,77760000,ASUS ROG Zephyrus GU603 16″,16894,23757,0,0,1,0,0
49,6589cbab8997406b55ed5f07,AMD Ryzen 9 6900HS,GeForce RTX 3060,24,15.6,Quad HD(2560 x 1440 pixels),4.21 lbs(1.91 kg),500gb SSD,13.97 x 9.59 x 0.78 inches,0biet,30-Apr-22,42696000,HIDevolution ASUS ROG Zephyrus G15 GA503RM (GA503RM-G15.R93060-HID7),14059,17090,0,0,0,0,0
50,6589cbab8997406b55ed5f0c,Intel Core i5-1145G7,Intel Iris Xe,64,14,Full HD(1920 x 1080 pixels),3.5 lbs(1.59 kg),2000gb SSD,14.09 x 9.19 x 0.78 inches,Windows 11 Pro,6-Jun-23,57892799,Dell Latitude 5000 Series 5420 14″ (Latitude),4769,2690,0,0,0,0,0
